,name,user_name,date,content
30,"James Martin, SJ",@JamesMartinSJ,2020-09-30T21:46:13.000Z,"Also: ""Any kind of social or cultural discrimination in basic personal rights on the grounds of sex, race, color, social conditions, language or religion, must be curbed and eradicated as incompatible with God's design.""  ""Gaudium et Spes,"" Second Vatican Council."
31,"James Martin, SJ",@JamesMartinSJ,2020-09-30T21:46:14.000Z,"""Racism is a sin; a sin that divides the human family, blots out the image of God among specific members of that family, and violates the fundamental human dignity of those called to be children of the same Father.""  ""Brothers and Sisters to Us,"" US Catholic Bishops."
32,J.D. Greear,@jdgreear,2020-09-30T18:51:31.000Z,"When asked to condemn white supremacy, every single one of us should be ready to do so. Racism is, sadly, not extinct, and we know from our Southern Baptist history the effects of the horrific sins of racism and hatred. (1/3)"
33,Office of the Governor of California,@CAgovernor,2020-09-30T22:33:33.000Z,"Governor Newsom signed:#AB3121 establishing task force to study & make proposals on reparations for slavery#AB2542 prohibiting use of race, ethnicity or national origin to seek or obtain convictions or impose sentences#AB3070 aims to eliminate discrimination in jury selection"
34,Office of the Governor of California,@CAgovernor,2020-09-30T22:37:27.000Z,"“As a nation, we can only truly thrive when every one of us has the opportunity to thrive. Our painful history of slavery has evolved into structural racism & bias built into & permeating throughout our democratic & economic institutions.”"
35,Dr. Oni Blackstock,@oni_blackstock,2020-09-30T23:31:27.000Z,"Because #racism leads to #medicalmistrust and labor inequality, Black New Yorkers with #COVID19 were prevented from seeking timely care.There, fixed the title, @Gothamist.Stop blaming Black ppl for being harmed by a system intended to eradicate us."
36,Mother Jones,@MotherJones,2020-09-30T18:51:52.000Z,"Thanks to Trump's trashy performance, last night's debate was unlike any other in US history. @DavidCornDC and @nhbaptiste break down the contrast between Trump and Biden, the racism embedded in the topics, and whether there's any reason to be hopeful."
37,DeMarcus,@semperdiced,2020-09-30T18:24:37.000Z,"Undecided Voter: I mean yeah, Trump’s a racist fascist dictator but Biden isn’t my fave. Lol. I’m so confused. The rest of us:"
38,Grandma Grit ,@grandmagrit,2020-09-30T23:51:05.000Z,I have to admit that Trump did a great job in the debate of showing us all that he's an ignorant racist who knows he's losing so badly that his only hope is that a few fringe White Supremacists will save him from prison.
39,Mark Pukita US Senate Candidate '22 (R-OH),@mpukita,2020-09-30T21:25:09.000Z,"Last night @JoeBiden told us that we're all racist just because we breathe.What a complete and utter fool. An America-hating, corrupt, flip-flopping, wishy-washy, over-the-hill, soulless, fool."
40,Mary Schmich,@MarySchmich,2020-09-30T23:56:31.000Z,"In the midst of the madness, in a country with a proudly racist president, there remain people like Tracy Aiden trying to move us forward. In her case, one kids' book at a time. Today's column."
41,Ava DuVernay,@ava,2020-09-30T03:07:30.000Z,"For those who hadn’t been listening for the past 4 years, Trump just told you that he ain't leaving and that he is a white supremacist. If that doesn't get every American who is not white into overdrive to toss his ass - we may actually deserve what happens next."
42,Marley K,@MarleyK20,2020-09-30T22:22:34.000Z,"White people made this mess. Your messages of urgency should be directed towards White people. You're asking victims to fix messes the perpetrators of crimes against us made. We are trying to survive racism everyday while White folks get to live, their lights just comin on."
43,Ariana Garcia ,@Ariana_noGrande,2020-09-30T19:42:08.000Z,lol at people talking about leaving the US as if racism doesn’t exist in other countries
44,Dave Zirin,@EdgeofSports,2020-09-30T23:48:10.000Z,"Appreciate @KingJames tweeting “PLEASE VOTE” last night. But it’s becoming clear we need a call to not just vote but to defend our vote against racist thugs, a wrecked postal service and Trumpist  judges. The Dems won’t organize that. It’s against their nature. It’ll be up to us."
45,Fr. Bruce Wilkinson,@PadreInAtlanta,2020-09-30T21:52:07.000Z,https://ncronline.org/news/vatican/answering-letter-black-brazilian-clergy-pope-sends-anti-racist-message…The Black Catholic Clergy in the US hope to get Pope Francis to speak to the US hierarchy about their collective silence on the presence of racism in the Church.
46,ballergearca,@BallerGearCA,2020-09-30T18:53:46.000Z,While others #standdownandstandby It's time for us to #StepForward #Standup to #racism & show the world #BlacklivesStillMatter while supporting @ChadGeter_38  #BlackOwnedBusiness#CGBrandhttps://ballergear.ca/collections/cg-brand/products/cg-step-forward-stand-up-to-racism…https://ballergear.ca/collections/cg-brand/products/cg-step-forward-stand-up-to-racism-hoodie…#BallerGear #BlackLivesMatter
47,Connie Walker,@connie_walker,2020-09-30T01:28:01.000Z,"When asked if the way Echaquan was treated was an indication of systemic racism, Premier Legault maintained that it was not.""I really don't think that we have this kind of way of dealing with First Nations in our hospitals. Yes, there is some racism. We're working on that.”"
48,#GenXHippy,@krisikaye5,2020-09-30T19:47:55.000Z,I've been seeing a TON of proof of racism all over Canada against Indigenous people. What is wrong with Canada & the US. We are ALL humans!!
49,LOLGOP,@LOLGOP,2020-09-30T21:04:37.000Z,"REPORTER: I beg you, please don't make us call you a white supremacist.TRUMP: Here's the strategic racism Republicans have been using for decades.REPORTER: Whew!"
50,Kelsey Waits,@KelseyWaitsMN,2020-09-30T19:22:14.000Z,"I condemn white supremacy, but simply saying that is not enough. Each of us most commit to doing the hard work of “anti-racism”. Minnesota has one of the largest racial disparities in the country and we have a lot of work ahead of us. I’m ready to do my part in the MN House."
51,Dujie Tahat,@DujieTahat,2020-09-30T22:40:14.000Z,"The mayor is a conservative in all the ways it matters in Seattle. She wants to fund $100M in vague BIPOC programs by cutting funding to infrastructure projects that would help us transition away from fossil fuels, which disproportionately harm BIPOC. This is regressive & racist."
52, SNOW BUNNY CRISIS ,@AgonyAng,2020-09-30T19:56:05.000Z,I don’t think anyone (Black) is actually under the impression that they can escape racism by leaving the US... people are just looking for even the tiniest bit of relief
53,Al​ 🅖🅓🅐🅓➊ Criswell​,@Gdad1,2020-09-30T21:12:19.000Z,Because Trump is a racist idiot he attacks them. COVID-19 threatens them. But immigrants keep the US fed.
